>DATE(0/DATE), TIME(1/TIME),LINE_IL1-RMS(4/A),LINE_IL1-Ang(4/Degree),LINE_IL2-RMS(4/A),LINE_IL2-Ang(4/Degree),LINE_IL3-RMS(4/A),LINE_IL3-Ang(4/Degree),LINE_IN-RMS(4/A),LINE_IN-Ang(4/Degree),LINE_UL1-RMS(4/V),LINE_UL1-Ang(4/Degree),LINE_UL2-RMS(4/V),LINE_UL2-Ang(4/Degree),LINE_UL3-RMS(4/V),LINE_UL3-Ang(4/Degree),LINE_UN-RMS(4/V),LINE_UN-Ang(4/Degree),REM_BUS_IL2_D-RMS(4/A),REM_BUS_IL2_D-Ang(4/Degree),REM_BUS_IL3_D-RMS(4/A),REM_BUS_IL3_D-Ang(4/Degree),REM_BUS_IN_D-RMS(4/A),REM_BUS_IN_D-Ang(4/Degree),L3D-IDL1-RMS(4/one),L3D-IDL1-Ang(4/Degree),L3D-IDL2-RMS(4/one),L3D-IDL2-Ang(4/Degree),L3D-IDL3-RMS(4/one),L3D-IDL3-Ang(4/Degree),L3D-IBIAS-RMS(4/A),L3D-IBIAS-Ang(4/Degree),L3D-IDL1MAG-RMS(4/A),L3D-IDL1MAG-Ang(4/Degree),L3D-IDL2MAG-RMS(4/A),L3D-IDL2MAG-Ang(4/Degree),L3D-IDL3MAG-RMS(4/A),L3D-IDL3MAG-Ang(4/Degree),L3D-IDNSMAG-RMS(4/A),L3D-IDNSMAG-Ang(4/Degree)
02/02/2024,00:49:20.847368,225.657,0.000,462.059,180.000,260.917,0.000,28.397,0.000,51955.219,180.000,128113.734,0.000,70038.813,180.000,6114.708,0.000,452.527,0.000,225.480,180.000,24.098,180.000,25.497,180.000,9.540,180.000,35.412,0.000,326.110,0.000,26.743,0.000,28.854,0.000,30.412,0.000,0.000,0.000
02/02/2024,00:49:20.848368,281.597,180.000,448.346,180.000,206.053,0.000,28.593,180.000,69145.398,360.000,126614.695,0.000,56698.590,180.000,4883.724,0.000,430.172,0.000,170.089,180.000,24.210,360.000,22.446,180.000,20.632,360.000,41.044,180.000,326.038,0.000,26.743,90.000,29.053,180.000,30.444,180.000,0.000,0.000
02/02/2024,00:49:20.849368,328.716,154.319,425.493,138.408,168.275,329.456,27.853,291.555,83366.336,334.552,119209.430,306.264,46294.711,146.365,4553.167,316.535,403.687,325.108,142.086,150.705,21.418,118.885,18.473,137.416,24.575,351.480,42.843,178.887,325.966,330.000,26.743,63.435,29.187,160.424,30.617,126.066,0.000,0.000
02/02/2024,00:49:20.850368,359.872,148.248,393.549,118.705,162.273,314.381,25.940,282.121,94920.164,323.342,109909.516,296.990,44921.336,131.206,5375.243,313.331,370.003,303.291,152.515,136.426,20.633,147.529,15.999,139.086,27.249,343.240,41.560,218.285,325.930,333.435,26.743,18.875,29.240,166.370,30.734,132.289,0.000,0.000
02/02/2024,00:49:20.851368,372.717,154.871,357.591,108.405,187.144,306.723,23.642,279.578,101856.484,323.682,100597.805,292.604,51842.098,125.098,5271.184,326.390,333.719,290.511,189.533,128.693,19.804,151.612,15.525,125.707,31.539,318.802,39.526,246.610,325.909,337.614,26.709,252.000,29.274,169.213,30.896,119.830,0.000,0.000
02/02/2024,00:49:20.852368,371.789,170.835,326.435,103.893,225.737,303.078,21.604,280.209,103095.547,336.521,91955.820,287.420,61857.379,122.889,4812.240,349.639,305.301,285.450,233.498,124.879,18.498,124.869,16.855,119.022,34.680,310.599,37.253,260.320,325.894,340.893,26.687,270.000,29.371,131.501,31.017,120.353,0.000,0.000
02/02/2024,00:49:20.853368,360.396,193.701,306.844,101.996,264.460,302.020,20.105,280.754,100808.688,356.912,85693.227,283.750,72618.703,121.917,5082.233,17.348,290.745,283.826,271.666,124.269,17.265,89.159,20.032,114.180,35.457,320.713,34.578,262.026,325.884,343.405,26.647,267.621,29.458,112.813,31.104,125.087,0.000,0.000
02/02/2024,00:49:20.854368,342.153,214.959,302.307,101.417,293.536,303.707,19.526,279.865,96517.055,19.075,83113.523,281.689,81778.070,122.599,5616.291,38.424,291.185,283.712,296.598,126.978,17.368,82.767,24.642,110.014,34.400,342.836,32.737,260.966,325.894,0.000,26.701,337.500,29.517,114.733,31.168,130.157,0.000,0.000
02/02/2024,00:49:20.855368,322.723,229.317,310.730,101.937,310.368,307.891,19.818,279.926,91338.078,37.119,84344.008,281.050,86533.414,126.812,5298.861,58.595,302.922,284.557,309.922,131.966,18.979,83.436,26.805,113.776,32.713,6.783,31.622,265.154,325.902,14.882,26.743,17.748,29.559,120.358,31.214,135.471,0.000,0.000
02/02/2024,00:49:20.856368,307.971,238.681,326.141,103.456,315.963,314.301,20.791,280.690,86771.891,49.483,87812.750,281.948,87458.227,134.143,5226.624,83.985,320.660,286.072,312.468,139.280,19.867,89.958,27.911,119.840,31.152,25.557,31.271,269.493,325.923,29.355,26.828,39.481,29.592,126.006,31.246,141.007,0.000,0.000
