ia_rms,ia_ang,ib_rms,ib_ang,ic_rms,ic_ang,in_rms,in_ang,va_rms,va_ang,vb_rms,vb_ang,vc_rms,vc_ang
102.061,0.693,105.582,237.595,111.669,114.288,50.268,94,88027.469,186.127,88498.117,65.684,87720.008,305.606
102.167,8.193,105.612,245.05,111.717,121.88,50.268,102.301,88027.469,193.627,88498.703,73.184,87719.219,313.105
102.276,15.685,105.573,252.501,111.611,129.423,50.504,109.801,88027.469,201.127,88498.984,80.682,87719.805,320.605
102.17,23.17,105.561,260.103,111.611,136.845,50.565,115.776,88028.141,208.627,88499.008,88.181,87720.125,328.105
102.267,30.692,105.543,267.656,111.479,144.345,50.782,122.91,88028.453,216.126,88498.906,95.681,87720.461,335.605
102.267,38.164,105.543,275.264,111.411,151.786,50.782,128.316,88028.453,223.626,88498.469,103.18,87719.734,343.105
102.192,45.664,105.496,282.764,111.567,159.261,50.656,135.816,88029.633,231.126,88498.188,110.679,87718.594,350.605
102.126,53.204,105.496,290.159,111.731,166.797,50.527,144.451,88030.227,238.625,88498.563,118.179,87718.594,358.105
102.181,60.748,105.555,297.659,111.731,174.321,50.57,152.649,88030.539,246.125,88498.102,125.679,87718.984,5.605
102.181,68.2,105.628,305.206,111.731,181.821,50.712,159.964,88030.766,253.624,88497.57,133.179,87719.375,13.105
102.181,75.7,105.709,312.75,111.731,189.321,50.784,167.042,88030.898,261.124,88497.867,140.678,87719.734,20.605
102.206,83.2,105.887,320.29,111.731,196.821,50.926,174.355,88030.883,268.623,88497.867,148.178,87720.75,28.105
102.206,90.644,105.979,327.858,111.731,204.321,50.926,181.729,88030.922,276.123,88498.906,155.678,87720.445,35.605
102.211,98.144,105.979,335.386,111.731,211.821,50.845,189.229,88031.016,283.624,88499.992,163.179,87720.445,43.105
102.228,105.755,105.882,342.886,111.791,219.321,50.719,196.595,88031.156,291.124,88501.133,170.679,87720.445,50.605
102.286,113.308,105.492,350.371,111.791,226.788,50.549,203.628,88030.977,298.624,88502.297,178.179,87720.648,58.105
102.327,120.91,105.391,357.835,111.873,234.288,50.404,210.336,88030.75,306.124,88503.078,185.679,87720.648,65.605
102.327,128.458,105.391,5.333,111.909,241.706,50.365,217.056,88029.43,313.624,88503.461,193.179,87720.891,73.105
102.327,135.958,105.391,12.833,111.938,249.162,50.327,224.325,88028.242,321.123,88502.734,200.679,87720.961,80.604
102.327,143.458,105.499,20.333,111.956,256.614,50.327,231.558,88027.273,328.622,88502.391,208.179,87721,88.104
102.193,150.958,105.801,27.814,111.956,264.065,50.599,239.058,88026.578,336.122,88501.164,215.679,87720.891,95.603
102.193,158.404,105.979,35.239,111.956,271.565,50.768,247.887,88026.945,343.622,88500.078,223.18,87720.891,103.103
102.273,165.904,105.906,42.677,111.956,279.065,50.687,256.471,88027.328,351.122,88500.555,230.681,87721.172,110.603
102.273,173.417,105.715,50.213,111.87,286.565,50.415,263.215,88026.938,358.622,88501.148,238.18,87721.555,118.103
102.107,180.917,105.662,57.837,111.87,293.968,50.552,269.175,88027.719,6.122,88501.461,245.68,87721.555,125.604
102.191,188.419,105.662,65.383,111.87,301.468,50.552,277.45,88028.102,13.622,88501.461,253.179,87721.289,133.104
102.273,195.911,105.74,72.883,111.947,308.968,50.723,284.95,88028.102,21.122,88501.672,260.679,87720.703,140.603
102.354,203.396,105.708,80.28,111.947,316.507,50.644,293.197,88027.43,28.622,88501.656,268.178,87720.703,148.103
102.354,210.874,105.733,87.833,111.947,324.007,50.728,300.341,88026.82,36.122,88501.789,275.679,87720.367,155.603
102.559,218.374,105.725,95.279,111.775,331.507,50.456,308.174,88026.82,43.622,88501.969,283.18,87720,163.103
102.613,225.77,105.725,102.833,111.775,338.959,50.204,314.44,88026.344,51.122,88501.969,290.68,87720.758,170.603
102.568,233.231,105.674,110.333,111.876,346.459,50.513,321.087,88026.547,58.622,88502.531,298.18,87720.758,178.103
102.568,240.775,105.591,117.732,112.093,353.971,50.874,329.566,88026.547,66.122,88503.453,305.681,87720.758,185.603
102.631,248.275,105.75,125.137,112.206,1.481,50.277,337.837,88025.977,73.622,88503.453,313.182,87721.914,193.103
102.609,255.621,105.684,132.769,112.539,8.98,50.793,344.443,88025.914,81.123,88504.344,320.682,87720.82,200.603
102.609,263.228,105.827,140.229,112.434,16.456,50.631,352.554,88025.914,88.624,88504.023,328.182,87720.82,208.103
102.609,270.728,105.9,147.798,112.336,23.971,50.268,359.955,88025.914,96.124,88502.641,335.682,87720.516,215.603
102.662,278.228,105.9,155.326,112.426,31.491,50.574,7.453,88025.453,103.624,88501.188,343.181,87719.977,223.103
102.701,285.838,105.669,162.826,112.661,38.965,51.22,14.802,88024.32,111.122,88500.805,350.681,87719.5,230.604
102.551,293.391,105.748,170.279,112.661,46.37,50.944,21.639,88023.945,118.621,88496.914,358.181,87719.703,238.104
102.43,300.738,105.748,177.788,112.723,53.87,50.782,29.557,88023.031,126.12,88494.961,5.681,87719.867,245.604
102.287,308.143,105.836,185.288,112.613,61.329,50.265,37.434,88023.297,133.619,88493.813,13.181,87719.867,253.103
102.203,315.556,105.836,192.783,112.512,68.917,50.074,46.372,88024.18,141.12,88494.172,20.681,87719.797,260.603
102.203,323.017,105.746,200.283,112.551,76.512,50.229,54.449,88024.828,148.62,88494.172,28.181,87719.703,268.104
102.296,330.517,105.59,207.801,112.608,83.963,50.671,61.306,88026.227,156.12,88495.094,35.681,87719.781,275.605
102.196,338.044,105.59,215.352,112.608,91.362,50.588,67.103,88028.438,163.621,88495.094,43.181,87719.875,283.105
102.495,345.523,105.418,222.852,112.608,98.862,50.993,74.961,88028.438,171.121,88495.563,50.681,87720.016,290.606
102.495,353.065,105.375,230.461,112.608,106.362,51.072,80.23,88029.609,178.621,88495.563,58.18,87720.203,298.106
102.495,0.565,105.314,238.003,112.573,113.862,51.293,87.351,88029.609,186.121,88495.406,65.68,87721.125,305.606
102.285,8.065,105.258,245.594,112.573,121.316,51.293,93.7,88029.992,193.621,88494.938,73.181,87721.914,313.107
102.285,15.58,105.276,253.193,112.625,128.816,51.229,101.2,88029.992,201.121,88494.656,80.682,87721.914,320.608
101.979,23.08,105.319,260.641,112.742,136.355,50.845,109.077,88031.672,208.621,88494.609,88.183,87720.953,328.108
101.881,30.646,105.319,267.981,112.681,143.925,50.798,119.773,88031.672,216.12,88494.609,95.683,87720.953,335.607
101.881,38.174,105.328,275.481,112.614,151.395,50.966,127.598,88032.219,223.62,88494.609,103.183,87721.68,343.107
102.195,45.674,105.433,283.035,112.243,158.871,51.556,134.197,88031.273,231.12,88494.055,110.683,87723.594,350.607
102.33,53.015,105.35,290.745,112.16,166.28,51.594,138.251,88031.07,238.621,88493.305,118.182,87723.203,358.108
102.33,60.427,105.177,298.144,112.247,173.768,51.48,145.483,88031.383,246.121,88493.766,125.681,87722.016,5.607
102.284,67.927,105.177,305.501,112.338,181.273,51.34,153.656,88031.609,253.621,88493.227,133.182,87721.633,13.108
102.321,75.478,105.177,313.001,112.247,188.772,51.429,161.673,88031.609,261.12,88492.336,140.681,87721.633,20.608
102.271,82.924,104.999,320.501,112.334,196.28,51.217,168.925,88031.688,268.62,88491.695,148.181,87720.961,28.108
102.271,90.535,104.999,327.933,112.334,203.766,51.217,176.791,88031.563,276.119,88489.625,155.681,87720.961,35.608
102.267,98.035,104.904,335.433,112.265,211.266,51.298,184.291,88031.375,283.618,88488.172,163.18,87720.414,43.108
102.25,105.425,104.809,342.91,112.147,218.792,51.351,191.848,88031.094,291.117,88486.648,170.68,87720.656,50.608
102.166,112.871,105.001,350.394,112.099,226.356,51.565,199.509,88031.656,298.617,88485.094,178.18,87720.852,58.108
102.048,120.217,105.102,357.912,112.099,233.892,51.707,207.823,88032.109,306.118,88484.703,185.68,87720.688,65.608
102,127.573,105.208,5.414,112.029,241.392,51.939,216.101,88033.961,313.618,88484.32,193.18,87720.445,73.108
101.943,135.029,105.315,12.909,111.972,248.981,52.115,224.866,88034.844,321.119,88484.688,200.68,87720.234,80.609
102.007,142.489,105.102,20.397,111.992,256.576,51.921,233.604,88035.492,328.62,88485.703,208.18,87720.156,88.109
102.073,150.023,104.798,27.935,111.997,264.027,51.6,239.717,88035.148,336.12,88486.313,215.679,87720.344,95.61
102,157.551,104.619,35.511,111.997,271.476,51.54,245.393,88034.039,343.62,88486.313,223.179,87720.531,103.112
101.843,165.03,104.619,43.074,112.022,278.976,51.667,252.51,88033.273,351.12,88485.375,230.679,87720.672,110.612
101.763,172.501,104.681,50.574,112.108,286.526,51.859,261.223,88032.883,358.62,88484.578,238.18,87720.297,118.112
101.845,179.993,104.63,58.032,112.164,294.124,51.667,269.984,88031.711,6.12,88484.102,245.68,87720.984,125.612
101.679,187.493,104.542,65.578,112.164,301.67,51.667,276.208,88032.094,13.62,88484.102,253.181,87721.508,133.112
101.763,195.008,104.463,73.177,112.013,309.17,51.278,283.708,88031.727,21.12,88484.172,260.681,87722.383,140.613
101.763,202.494,104.463,80.781,112.094,316.591,51.278,289.127,88032.734,28.62,88484.25,268.181,87722.703,148.113
